"File","PersonName","MentionedPerson","HasWikiLink","MentionedSlug"
"agheu","Sfântul Proroc Agheu","Profetul Zaharia","yes","zaharia"
"agheu","Sfântul Proroc Agheu","Zorobabel","no",""
"agheu","Sfântul Proroc Agheu","Iosua, fiul lui Ioțadac","no",""
"agheu","Sfântul Proroc Agheu","Profetul Maleahi","yes","maleahi"
"agheu","Sfântul Proroc Agheu","Regele Darius I Hystaspes","no",""
"amos","Sfântul Proroc Amos","Profetul Osea","yes","osea"
"amos","Sfântul Proroc Amos","Profetul Isaia","yes","isaia"
"amos","Sfântul Proroc Amos","Regele Ieroboam al II-lea","no",""
"amos","Sfântul Proroc Amos","Amația, preotul din Betel","no",""
"anania","Sfântul Proroc Anania","Sfântul Proroc Daniel","yes","daniel"
"anania","Sfântul Proroc Anania","Sfântul Proroc Azaria (Abed-Nego)","yes","azaria"
"anania","Sfântul Proroc Anania","Misail","no",""
"anania","Sfântul Proroc Anania","Regele Nebucadnețar","no",""
"anania","Sfântul Proroc Anania","Profetul Ieremia","yes","ieremia"
"andrei-apostolul","Sfântul Apostol Andrei","Sfântul Apostol Petru","yes","petru"
"andrei-apostolul","Sfântul Apostol Andrei","Sfântul Apostol și Evanghelist Ioan","yes","ioan-evanghelistul"
"andrei-apostolul","Sfântul Apostol Andrei","Sfântul Apostol Iacob, fiul lui Zebedeu","yes","iacob-zebedeu"
"andrei-apostolul","Sfântul Apostol Andrei","Sfântul Apostol Pavel","yes","pavel"
"andrei-apostolul","Sfântul Apostol Andrei","Sfântul Ignatie Teoforul","yes","ignatie-teoforul"
"andrei-criteanul","Sfântul Andrei Criteanul","### Sfântul Ioan Damaschin","no",""
"andrei-criteanul","Sfântul Andrei Criteanul","Sfântul Sofronie al Ierusalimului","no",""
"andrei-criteanul","Sfântul Andrei Criteanul","Patriarhul Gherman I al Constantinopolului","no",""
"andrei-criteanul","Sfântul Andrei Criteanul","Împărat Justinian II","no",""
"andrei-criteanul","Sfântul Andrei Criteanul","Sfântul Cosma de Maiuma","no",""
"andrei-criteanul","Sfântul Andrei Criteanul","Sfântul Gherman, Patriarhul Constantinopolului","no",""
"andrei-criteanul","Sfântul Andrei Criteanul","Sfânta Maria Egipteanca","yes","maria-egipteanca"
"avacum","Sfântul Proroc Avacum","Profetul Ieremia","yes","ieremia"
"avacum","Sfântul Proroc Avacum","Profetul Sofonie","yes","sofonie"
"avacum","Sfântul Proroc Avacum","Profetul Daniel","yes","daniel"
"avacum","Sfântul Proroc Avacum","Regele Ioiachim","no",""
"avdie","Sfântul Proroc Avdie","Profetul Ieremia","yes","ieremia"
"avdie","Sfântul Proroc Avdie","Profetul Iona","yes","iona"
"avdie","Sfântul Proroc Avdie","Profetul Obadia din timpul lui Ahab","no",""
"azaria","Sfântul Proroc Azaria","Sfântul Proroc Daniel","yes","daniel"
"azaria","Sfântul Proroc Azaria","Sfântul Proroc Anania (Șadrac)","yes","anania"
"azaria","Sfântul Proroc Azaria","Misail","no",""
"azaria","Sfântul Proroc Azaria","Regele Nebucadnețar","no",""
"azaria","Sfântul Proroc Azaria","Profetul Ieremia","yes","ieremia"
"barnaba","Sfântul Apostol Barnaba","Sfântul Apostol Pavel","yes","pavel"
"barnaba","Sfântul Apostol Barnaba","Sfântul Apostol Petru","yes","petru"
"barnaba","Sfântul Apostol Barnaba","Ioan Marcu (Sfântul Evanghelist Marcu)","yes","marcu-evanghelistul"
"barnaba","Sfântul Apostol Barnaba","Sfântul Evanghelist Luca","yes","luca-evanghelistul"
"barnaba","Sfântul Apostol Barnaba","Sfântul Apostol Iacob","yes","iacob-alfeu"
"bartolomeu","Sfântul Apostol Bartolomeu (Natanael)","Sfântul Apostol Filip","yes","filip-apostolul"
"bartolomeu","Sfântul Apostol Bartolomeu (Natanael)","Sfântul Apostol Toma","yes","toma"
"bartolomeu","Sfântul Apostol Bartolomeu (Natanael)","Sfântul Apostol și Evanghelist Matei","yes","matei-evanghelistul"
"bartolomeu","Sfântul Apostol Bartolomeu (Natanael)","Apostolul Tadeu","no",""
"bartolomeu","Sfântul Apostol Bartolomeu (Natanael)","Apostolul Petru","no",""
"daniel","Sfântul Proroc Daniel","Profetul Ieremia","yes","ieremia"
"daniel","Sfântul Proroc Daniel","Profetul Iezechiel","yes","iezechiel"
